ID,area,perimeter,equivalent_diameter,orientation,aspect_ratio,circularity,solidity,morphology_class
18,1197,165.78174593052023,39.039310125154486,1.5370055175064405,2.899536367733263,0.5473064876894677,0.8300970873786407,Small
19,1048,131.01219330881977,36.52882482208332,-1.4099598249103833,2.087100604383602,0.767269106456071,0.9676823638042474,Small
20,1615,163.9827560572969,45.34624421875849,1.4036957390948481,2.058254500849058,0.7547202939366857,0.9659090909090909,Normal
21,1407,155.09545442950497,42.32550105364819,-0.9223157979146923,2.111669692753182,0.7350312815699811,0.9610655737704918,Small
22,2355,245.45079348883237,54.758370390756774,-0.41372499233489135,3.783971371112114,0.49121531044504224,0.9469240048250904,Deformed
23,1552,186.42640687119285,44.45298385293132,-1.497219446639489,3.6937545333807367,0.5611600206961863,0.9639751552795031,Deformed
24,660,99.98275605729691,28.988585676524604,0.8023977364693741,1.6690449982338895,0.8296665703333045,0.9635036496350365,Small
25,877,121.53910524340094,33.416030295843605,1.1120785601229721,1.8391639405854916,0.7460662390989415,0.9419978517722879,Small
26,1283,156.40916292848976,40.41740139958547,-0.9605357057046723,2.584698588301064,0.6590405496992494,0.9596110695587136,Small
27,1942,282.97770542341357,49.725558778918575,-1.0868793762354139,5.563574416646278,0.304757672545513,0.7978635990139687,Deformed
28,1590,163.78174593052023,44.99389820996741,1.2902111928079514,2.041547542084997,0.7448623030374344,0.9671532846715328,Normal
29,1530,182.95331880577405,44.13679308065777,-1.3681999421602005,3.2011704802189063,0.5744083053029431,0.9250302297460702,Deformed
30,2408,258.651803615609,55.371119039823206,1.282939292040259,4.5560517921051185,0.45230909885945986,0.9300888373889533,Deformed
31,4691,436.1736649163069,77.28367682992734,1.1574205262248178,6.016052323693675,0.30985350712808923,0.7148735141725083,Deformed
32,947,125.49747468305833,34.72402408800281,-1.438193235750493,2.0380434974979944,0.7555963813390636,0.9556004036326943,Small
33,1781,191.58073580374355,47.61973991081141,1.200718328122779,2.8004299019086027,0.6097756946898343,0.9194630872483222,Deformed
34,3514,386.2914139223983,66.88919015954194,1.234301898416308,7.1444457686233775,0.2959249008378845,0.7903733693207378,Elongated
35,1217,153.39696961966996,39.36410199588825,1.4462173576721304,2.4198606499631907,0.6499304459834485,0.9082089552238806,Small
36,2462,327.62846301849606,55.98853238957037,1.240182724396269,5.351261979644064,0.28822700151789976,0.7657853810264386,Deformed
37,744,138.50966799187808,30.77808020788433,0.7900566040257179,3.1780127371731,0.48732941166550287,0.8387824126268321,Deformed
38,1603,201.06601717798213,45.177461086369895,0.3986561012525501,3.072533821321873,0.4982714869257689,0.8950307091010609,Deformed
39,1318,148.5685424949238,40.96498163017951,1.442122598412372,1.9966953563460779,0.750363237730615,0.9599417334304443,Small
40,1673,211.53910524340097,46.153328789394244,1.549401775831086,3.9822161397607387,0.46981240400512636,0.895610278372591,Deformed
41,5005,527.9482681718907,79.82834033975332,1.349948149569027,9.677054713636217,0.2256478535167681,0.7647058823529411,Elongated
42,2226,304.5929291125633,53.23749831256604,1.2396289189877734,6.616980362523483,0.3015056045149231,0.8451025056947609,Deformed
43,1628,173.98275605729688,45.528386516862696,1.532478319262167,2.268015362897268,0.6758523872517662,0.931350114416476,Deformed
44,1566,165.49747468305833,44.653030435293694,-1.4724809695961412,2.4697360436342293,0.7184869413861777,0.9660703269586675,Normal
45,1468,177.63961030678928,43.23327019404407,1.4376214106826521,3.0348770583385503,0.5845966146231484,0.9428387925497752,Deformed
46,1859,227.63961030678928,48.651334140624215,-1.4295041829005273,4.296961850515724,0.4508100474557151,0.9276447105788423,Deformed
